date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:25	35027/35027	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2011:28:03%20GMT	https://jsonformatter.org/json-minify	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-minify.html	(from https://jsonformatter.org/)
11:04:26	34511/34511	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2012:05:58%20GMT	https://jsonformatter.org/json-reader	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-reader.html	(from https://jsonformatter.org/)
11:04:26	34297/34297	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2013:04:05%20GMT	https://jsonformatter.org/json-stringify-online	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-stringify-online.html	(from https://jsonformatter.org/)
11:04:26	34445/34445	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2018:02:36%20GMT	https://jsonformatter.org/json-to-one-line	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-to-one-line.html	(from https://jsonformatter.org/)
11:04:26	49860/49860	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2014:59:14%20GMT	https://jsonformatter.org/json-compare	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-compare.html	(from https://jsonformatter.org/)
11:04:27	48222/48222	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2019:00:58%20GMT	https://jsonformatter.org/json-sorter	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-sorter.html	(from https://jsonformatter.org/)
11:04:27	34238/34238	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2008:13:45%20GMT	https://jsonformatter.org/json-to-tsv	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-to-tsv.html	(from https://jsonformatter.org/)
11:04:27	34057/34057	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2007:09:25%20GMT	https://jsonformatter.org/json-to-string	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-to-string.html	(from https://jsonformatter.org/)
11:04:27	35153/35153	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Oct%202024%2003:06:37%20GMT	https://jsonformatter.org/xml-to-json	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/xml-to-json.html	(from https://jsonformatter.org/)
11:04:27	32838/32838	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2005:25:47%20GMT	https://jsonformatter.org/xml-to-csv	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/xml-to-csv.html	(from https://jsonformatter.org/)
11:04:28	46569/46569	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2009:32:18%20GMT	https://jsonformatter.org/xml-to-string-converter	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/xml-to-string-converter.html	(from https://jsonformatter.org/)
11:04:28	34605/34605	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2005:34:05%20GMT	https://jsonformatter.org/xml-to-yaml	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/xml-to-yaml.html	(from https://jsonformatter.org/)
11:04:28	34904/34904	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2005:47:10%20GMT	https://jsonformatter.org/rss-to-json	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/rss-to-json.html	(from https://jsonformatter.org/)
11:04:28	35786/35786	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2003:00:19%20GMT	https://jsonformatter.org/yaml-to-json	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/yaml-to-json.html	(from https://jsonformatter.org/)
